pkg_name,data_safety
com.facebook.katana,"['Personal info', 'Device or other IDs', 'Health and fitness', 'App activity', 'Calendar', 'Messages', 'Contacts', 'Files and docs', 'Photos and videos', 'App info and performance', 'Web browsing', 'Personal info', 'Financial info', 'Location', 'Audio', 'Device or other IDs', 'Data is encrypted in transit', 'You can request that data be deleted']"
com.whatsapp,"['App info and performance', 'Personal info', 'App activity', 'Location', 'Financial info', 'Device or other IDs', 'Contacts', 'Data is encrypted in transit', 'You can request that data be deleted']"
